feature,importance
pct_pell_imputed,0.3174200111793216
pct_women_imputed,0.12040555266379287
log_instructional_exp,0.09475075005271036
region_nan,0.07885420771222298
pct_urm,0.0730190607528802
afford_gap_cont,0.06096190830560681
pct_white_imputed,0.049383649269843455
admit_rate_imputed,0.04003199432880847
is_aanapisi,0.03318925303099296
log_endowment,0.03233652112023095
is_tcu,0.02183232994848885
region_Northeast,0.015829268538913106
"size_category_1,000 - 4,999",0.008731346797116603
sat_composite_25_imputed,0.007935835029813562
region_South,0.0076119376035386575
"size_category_Under 1,000",0.007411893492736256
"sector_Private for-profit, 4-year or above",0.0069704924492017106
"sector_Private not-for-profit, 4-year or above",0.003960831153655917
"sector_Public, 4-year or above",0.0038063896937151117
region_West,0.0035763511615636958
region_Midwest,0.0034543935339846252
is_hsi,0.00254091949121284
act_composite_25_imputed,0.002416467804801021
is_hbcu,0.0017214024121206487
has_endowment,0.0007671497903301951
"size_category_5,000 - 9,999",0.0007068392266210132
is_pbi,0.0002068496524998611
"size_category_10,000 - 19,999",9.609083937932909e-05
"size_category_20,000 and above",7.030296389649873e-05
