feature,importance
pct_pell_imputed,0.450229874358556
pct_women_imputed,0.11364774427535823
sat_composite_25_imputed,0.06544811191328961
log_endowment,0.054445539555919575
admit_rate_imputed,0.045928788107961874
log_instructional_exp,0.044769852077314536
region_Northeast,0.03463722627934818
pct_urm,0.03399797125006764
pct_white_imputed,0.030792821272965402
act_composite_25_imputed,0.029081448485659443
afford_gap_cont,0.02537951945638623
region_nan,0.02162560055447565
"size_category_Under 1,000",0.01033763664266205
"size_category_1,000 - 4,999",0.006150598708247096
is_aanapisi,0.005927427548489136
is_tcu,0.0055846171970082206
region_South,0.005099811322741219
region_Midwest,0.00467630717641011
is_hsi,0.0032713634305208718
region_West,0.0030807527774472003
"sector_Private not-for-profit, 4-year or above",0.001787338343004968
"sector_Public, 4-year or above",0.0014448996529438823
"sector_Private for-profit, 4-year or above",0.0007502466205236678
has_endowment,0.0006605778933773338
is_hbcu,0.0004628034374236834
"size_category_5,000 - 9,999",0.00042605984580017367
"size_category_10,000 - 19,999",0.0001538426608865113
is_pbi,0.00013418039102597459
"size_category_20,000 and above",6.703876418565248e-05
