feature,importance
pct_pell_imputed,0.17736372004371134
sat_composite_25_imputed,0.09398732808899139
pct_women_imputed,0.0805764292467445
log_instructional_exp,0.07656705952779004
log_endowment,0.07482693409447473
act_composite_25_imputed,0.06966439638237809
pct_white_imputed,0.06872710471783312
pct_urm,0.05854200639147856
admit_rate_imputed,0.051425702897785766
afford_gap_cont,0.0312867934893994
afford_x_urm,0.030105109179464764
afford_x_pell,0.028232901933982958
region_Northeast,0.026781551809305772
region_nan,0.01648363017623683
sat_missing,0.01492222077727593
"size_category_Under 1,000",0.014482844759893964
"size_category_1,000 - 4,999",0.013588366708407242
region_South,0.010735644333927864
act_missing,0.007875227483003512
"sector_Private not-for-profit, 4-year or above",0.006722313106586217
"sector_Public, 4-year or above",0.006288963408376922
region_Midwest,0.006111303860354449
is_aanapisi,0.006072589882527569
region_West,0.005428084849658515
is_tcu,0.005142921362301579
has_endowment,0.0051281520392325655
is_hsi,0.0038418127441340977
"sector_Private for-profit, 4-year or above",0.0023659931461319176
is_hbcu,0.002349548425988831
"size_category_5,000 - 9,999",0.001997144227232823
"size_category_10,000 - 19,999",0.0013230469377527973
"size_category_20,000 and above",0.0007873578889058963
is_pbi,0.00026579607873000553
