Confounder,SMD_Pre,SMD_Post,Abs_SMD_Pre,Abs_SMD_Post,SMD_Improvement,Imbalanced_Pre,Balanced_Post,N_Control,N_Treated
control_Public,1.2258991914850994,0.18673639412391108,1.2258991914850994,0.18673639412391108,1.0391627973611883,True,False,3185,972
"sector_Public, 4-year or above",1.2258991914850994,0.18673639412391108,1.2258991914850994,0.18673639412391108,1.0391627973611883,True,False,3185,972
log_endowment,-0.6779985701171273,-0.10904763345433402,0.6779985701171273,0.10904763345433402,0.5689509366627933,True,False,3185,972
is_msi,0.61615408905444,0.12333858045988597,0.61615408905444,0.12333858045988597,0.49281550859455403,True,False,3185,972
pct_latino_imputed,0.5802951841521334,0.026489500211268578,0.5802951841521334,0.026489500211268578,0.5538056839408648,True,True,3185,972
sat_missing,0.5601702241911913,0.0829127022196993,0.5601702241911913,0.0829127022196993,0.477257521971492,True,True,3185,972
is_hsi,0.5011257506349357,0.03066044666032482,0.5011257506349357,0.03066044666032482,0.4704653039746109,True,True,3185,972
region_West,0.4078323221153437,0.10808342230181493,0.4078323221153437,0.10808342230181493,0.29974889981352876,True,False,3185,972
"size_category_10,000 - 19,999",0.4062992539263074,0.05660734123133063,0.4062992539263074,0.05660734123133063,0.3496919126949768,True,True,3185,972
is_tcu,0.3880080578997544,0.05247671302785193,0.3880080578997544,0.05247671302785193,0.33553134487190245,True,True,3185,972
pct_white_imputed,-0.3871104103795592,-0.11590873469525934,0.3871104103795592,0.11590873469525934,0.27120167568429987,True,False,3185,972
"size_category_20,000 and above",0.37104523760014974,0.1095922527579714,0.37104523760014974,0.1095922527579714,0.2614529848421783,True,False,3185,972
is_aanapisi,0.36903034978957455,0.04432114193478077,0.36903034978957455,0.04432114193478077,0.3247092078547938,True,True,3185,972
state_Washington,0.3539975519787142,0.04796293473034541,0.3539975519787142,0.04796293473034541,0.3060346172483688,True,True,3185,972
log_instructional_exp,-0.3323882154007805,-0.09966374616913791,0.3323882154007805,0.09966374616913791,0.23272446923164258,True,True,3185,972
state_Florida,0.33196862863488874,0.05895883622451906,0.33196862863488874,0.05895883622451906,0.2730097924103697,True,True,3185,972
"size_category_5,000 - 9,999",0.3105701328389206,0.06505524304804212,0.3105701328389206,0.06505524304804212,0.2455148897908785,True,True,3185,972
"size_category_Under 1,000",-0.3006975587913858,0.11541351393798008,0.3006975587913858,0.11541351393798008,0.18528404485340574,True,False,3185,972
pct_pell_imputed,0.29222095759570016,0.08533012339077141,0.29222095759570016,0.08533012339077141,0.20689083420492876,True,True,3185,972
region_Northeast,-0.287793170900237,-0.09957702137235339,0.287793170900237,0.09957702137235339,0.1882161495278836,True,True,3185,972
pct_asian_imputed,0.28632653805195496,0.026398668122003567,0.28632653805195496,0.026398668122003567,0.25992786992995137,True,True,3185,972
pct_urm,0.227073184650278,0.07298010186123521,0.227073184650278,0.07298010186123521,0.1540930827890428,True,True,3185,972
state_Pennsylvania,-0.21871192594000224,-0.09602997997881897,0.21871192594000224,0.09602997997881897,0.12268194596118327,True,True,3185,972
pct_black_imputed,-0.2154405557119022,0.06699956542406314,0.2154405557119022,0.06699956542406314,0.14844099028783908,True,True,3185,972
state_New Mexico,0.19440863320479093,0.04045845729373931,0.19440863320479093,0.04045845729373931,0.15395017591105162,True,True,3185,972
state_North Dakota,0.18833532089977095,0.05627425086951721,0.18833532089977095,0.05627425086951721,0.13206107003025375,True,True,3185,972
pct_women_imputed,0.18185424436184444,-0.014239739533948347,0.18185424436184444,0.014239739533948347,0.16761450482789608,True,True,3185,972
state_Wyoming,0.18033700292499752,0.012390620301995716,0.18033700292499752,0.012390620301995716,0.1679463826230018,True,True,3185,972
state_North Carolina,-0.17307903806769973,-0.056879821598088534,0.17307903806769973,0.056879821598088534,0.11619921646961119,True,True,3185,972
state_Kansas,-0.15436855943235578,-0.05687545789395879,0.15436855943235578,0.05687545789395879,0.09749310153839699,True,True,3185,972
