Variable,Treatment Group,N,Mean,Std,Min,25th Percentile,Median,75th Percentile,Max
earnings_10yr,High Gap (Control),3835,45718.897522816165,12737.669060635051,16616.0,37614.5,43771.0,51091.0,131792.0
earnings_10yr,Low Gap (Treated),1178,40436.503395585736,13438.38003915944,13843.0,34537.0,38789.0,44368.0,131792.0
grad_rate_6yr,High Gap (Control),3506,51.24729035938391,21.28630053281451,0.0,36.0,51.0,67.0,100.0
grad_rate_6yr,Low Gap (Treated),856,40.8107476635514,25.01099971162385,0.0,23.0,39.0,56.0,100.0
admit_rate_imputed,High Gap (Control),4008,73.19486027944112,17.276743133101984,7.0,67.0,76.0,83.0,100.0
admit_rate_imputed,Low Gap (Treated),1337,73.16679132385939,17.28585411964919,7.0,76.0,76.0,76.0,100.0
sat_composite_25_imputed,High Gap (Control),4008,1026.5306886227545,94.47123177173054,605.0,1019.0,1019.0,1019.0,1490.0
sat_composite_25_imputed,Low Gap (Treated),1337,1023.5325355273,73.93877360049551,780.0,1019.0,1019.0,1019.0,1490.0
sat_missing,High Gap (Control),4008,0.5815868263473054,0.4933602328797694,0.0,0.0,1.0,1.0,1.0
sat_missing,Low Gap (Treated),1337,0.8107703814510098,0.3918374748119367,0.0,1.0,1.0,1.0,1.0
log_instructional_exp,High Gap (Control),3501,9.05955460960226,0.5265680811546827,7.236339342754344,8.708804795117285,9.04310445260027,9.389991700214258,10.779934977485716
log_instructional_exp,Low Gap (Treated),1309,8.881156340750223,0.5774733643067212,7.244941546337007,8.521384396034705,8.840869624091395,9.17678358844734,10.779934977485716
log_endowment,High Gap (Control),3185,9.937190185206612,1.818087272903361,0.0,8.931684110731714,9.992596727607904,11.188150547181156,15.1232204809519
log_endowment,Low Gap (Treated),972,8.648616735031734,2.1507816298336375,0.0,7.582229194276461,8.68710472813351,9.449494848560017,15.1232204809519
has_endowment,High Gap (Control),4008,0.7931636726546906,0.40508764872823305,0.0,1.0,1.0,1.0,1.0
has_endowment,Low Gap (Treated),1337,0.724756918474196,0.44680380729627756,0.0,0.0,1.0,1.0,1.0
pct_pell_imputed,High Gap (Control),4008,45.79091816367266,20.459146808970925,0.0,31.0,43.0,59.0,100.0
pct_pell_imputed,Low Gap (Treated),1337,49.48616305160808,21.777006669269177,0.0,34.0,47.0,63.0,100.0
pct_white_imputed,High Gap (Control),4008,52.606536926147704,23.975959742071122,0.0,39.0,57.0,71.0,100.0
pct_white_imputed,Low Gap (Treated),1337,50.19371727748691,31.435596494498373,0.0,24.0,55.0,76.0,100.0
pct_black_imputed,High Gap (Control),4008,15.536676646706587,19.75123938094361,0.0,4.0,8.0,17.0,98.0
pct_black_imputed,Low Gap (Treated),1337,8.773373223635003,15.18805106899901,0.0,1.0,4.0,10.0,98.0
pct_latino_imputed,High Gap (Control),4008,13.897954091816366,15.510763816334048,0.0,5.0,9.0,17.0,100.0
pct_latino_imputed,Low Gap (Treated),1337,22.82348541510845,28.725605930012712,0.0,3.0,11.0,32.0,100.0
